seismicity_pga050,p_obj_dummy,bldg_group_dummy,sp_dummy,occup_cond,historic_dummy,area,bldg_age,stories,ystruct19
2,2,0,0,3,1,52745,8,1,37.67965764966232
2,2,7,5,1,0,38561,50,4,94.46163109060709
2,2,2,10,1,0,35818,34,1,52.42853703538208
0,2,6,10,0,0,95256,25,2,1.2675517292384382
2,1,3,2,3,0,240312,44,3,77.69514305983338
3,0,0,0,3,0,336153,73,2,89.71853678539084
0,2,5,6,1,0,4764,101,2,245.94036614093332
1,2,3,4,1,0,113499,22,11,82.29941613603741
1,0,7,4,0,0,59413,30,2,38.014840599479385
0,0,0,0,1,1,820100,31,37,84.17338662672775
0,2,7,4,2,0,2033,76,2,12.2910633495758
2,0,0,6,3,0,248109,24,5,74.76429221044869
2,2,0,7,1,0,1300,40,1,61.06575701699037
1,0,7,10,0,0,1661,62,1,48.141661599706445
2,2,1,11,1,1,14557,55,3,70.86151677651333
3,2,3,8,3,0,252121,28,1,18.443552918952083
0,2,7,7,1,1,26652,60,2,122.57900822192597
3,0,4,0,1,0,7019,35,1,17.150097596843086
0,2,7,3,2,0,84260,41,1,22.064288217024494
0,2,0,5,0,0,18785,37,1,9.487476328627416
0,2,3,11,3,0,16249,54,1,11.126282784098471
1,0,0,10,3,2,6869,26,1,69.15260292216637
0,2,0,3,1,0,5660,71,12,62.05572512764298
3,2,0,8,1,1,120083,38,6,19.777965685799394
0,2,3,0,0,0,22587,43,1,12.265857322042265
2,1,3,0,1,0,7791,52,12,24.158421192340363
3,2,3,7,0,0,399,57,1,27.422598290607134
2,1,7,8,1,0,39871,27,3,2.9263450359868877
3,2,0,2,1,2,101336,26,2,15.334360435080685
1,0,2,8,3,0,109253,60,13,86.43492472993701
3,0,0,9,2,0,27716,44,1,68.10437106697599
0,2,1,10,2,0,66747,45,3,36.39004244377082
1,0,0,10,0,0,232,91,4,38.798413932492466
0,1,3,0,1,0,11940,20,3,53.948556881447196
3,2,3,0,1,0,114503,37,3,37.89566865796107
1,2,0,11,3,0,34462,73,1,7.0975431816677235
1,1,3,1,1,0,245,27,1,26.5273660765425
1,2,1,11,3,0,145633,49,7,43.624746353326294
2,0,0,7,1,0,16512,70,14,261.84827675519966
3,0,3,3,1,0,456357,25,14,111.77034436171523
0,2,6,7,0,0,146543,30,1,12.753439059760952
2,2,2,11,1,2,34843,59,1,2.2726253539357337
3,2,0,9,3,0,6838,36,1,62.83180766778967
0,2,3,11,1,0,73748,53,1,10.837264475287899
2,2,2,2,1,0,2764,26,1,85.588864808184
0,2,4,4,2,2,99736,36,1,26.78268122892545
0,2,0,2,3,0,33088,19,3,38.99849092753065
0,0,3,1,0,0,53194,37,1,89.64107881333592
0,2,3,11,1,0,100285,38,11,37.74608846650419
0,2,0,11,1,0,1848,32,1,30.477078440484622
3,2,3,0,1,0,51219,25,2,78.86375895242192
0,2,7,2,2,0,1819,68,1,100.93511948997777
3,2,3,0,1,0,102919,23,5,16.343800652187298
1,0,1,2,1,0,4020,33,1,19.22538682718984
3,2,0,8,1,1,347062,34,1,19.19432050362206
0,1,2,4,2,0,878,29,1,3.6526810449844884
3,2,1,11,3,0,65801,15,1,4.354500630639745
2,0,0,6,3,0,37466,33,1,1.307161668172515
2,0,3,9,2,0,198136,71,6,7.831387882721002
3,2,5,8,3,0,169861,44,2,1.5823399087788084
2,2,7,7,1,0,120358,52,1,67.03816491462027
3,2,1,7,2,0,113699,61,3,10.108629519243733
1,2,0,5,2,0,48770,59,1,9.36367417175742
2,2,3,1,1,0,89183,46,1,43.68167960905459
3,0,7,1,2,0,37159,32,1,29.616106527610906
3,2,3,2,1,0,2229,33,1,3.47463751758207
2,2,0,8,3,0,81856,44,4,21.914204128524275
2,2,0,8,1,0,3422,41,1,64.90788221544582
2,1,0,10,1,2,8174,51,6,154.80104915985817
0,2,5,8,1,0,2811,35,1,3.635111840173125
2,0,0,2,1,0,111105,75,3,31.407000674233476
1,0,1,0,1,0,22883,59,1,21.763962056507285
2,2,3,4,2,2,155599,60,19,60.35404214551531
3,2,4,11,2,1,27321,100,6,135.2232933195833
3,2,2,10,1,0,158490,22,1,42.95493212001561
1,2,6,4,3,0,44982,66,1,15.634299255019734
2,2,7,5,0,1,156028,58,6,56.59327532299139
0,0,3,1,3,0,76645,42,2,23.266199700781947
2,2,3,3,1,0,107783,34,2,43.77744975010432
0,2,3,10,0,0,253034,38,9,14.823998194947094
2,1,0,7,3,0,12429,41,1,20.430031906170036
1,2,0,11,1,0,87537,61,5,15.26226367347634
3,1,3,1,1,0,4756,76,1,88.0543434328441
1,2,6,4,1,0,9138,54,3,47.62252701675179
3,0,0,10,1,2,270409,31,4,22.875703910617283
2,2,2,10,0,0,125899,7,1,3.6441668574608865
2,2,2,11,1,1,192808,44,1,46.581459763399586
2,2,3,6,1,0,472,120,1,105.41989586080629
3,0,3,3,0,0,79181,30,4,19.002857201193873
3,2,3,1,1,0,9739,62,1,34.660587486867236
1,2,0,6,1,0,185677,30,2,8.292927447757338
2,0,0,3,1,0,55942,50,5,143.38477010190854
0,0,7,0,3,0,47306,43,1,5.079912955633457
1,2,0,9,1,0,21214,34,1,19.615775907061046
1,1,0,1,3,0,99217,32,1,48.54092619847674
0,0,0,6,2,0,8551,41,1,1.6664271704189944
3,2,3,4,3,1,59363,36,1,9.781444508968365
3,2,0,11,2,0,16954,77,1,25.376776942430855
2,1,0,2,1,0,15551,43,1,22.78661988344521
0,2,3,10,3,0,188546,35,2,10.987932090727721
0,2,6,2,1,2,229426,84,1,10.880883916085772
2,2,0,9,1,0,179960,44,7,223.47954232203423
0,1,7,11,1,0,484130,24,6,9.627599427284132
2,2,7,10,1,0,20378,67,1,22.193386110682898
3,2,6,11,1,0,367,32,1,91.62456120024495
3,2,0,10,1,0,87796,71,1,3.010839850110095
2,2,0,4,0,0,119942,32,18,115.37269120375448
0,0,5,3,0,0,13103,39,1,44.14318623653132
2,0,1,4,2,0,82087,24,1,61.576712438745616
1,2,2,11,2,0,105290,13,1,4.35759289505287
0,2,3,8,2,0,118211,37,1,1.4364002257597013
2,0,6,0,1,0,147920,21,1,7.149836751058444
3,1,1,3,0,0,74959,143,3,38.3409178362655
2,2,3,5,3,0,39250,36,9,1.2743487012267503
1,0,3,5,1,2,132094,21,7,64.35179935586203
1,0,0,10,2,0,6344,35,1,47.37137728364692
2,1,7,6,0,0,68705,56,1,15.81773918704607
2,2,7,7,2,1,142536,16,1,3.592528064445779
1,2,6,0,1,0,26807,26,1,20.74119210515629
1,2,7,6,3,1,128194,92,3,91.49017970667232
0,2,7,10,2,0,29711,27,5,130.77272758183076
1,0,3,8,1,0,298313,49,2,10.211826786445936
3,1,3,0,0,0,221340,60,21,74.1569415214783
3,0,0,8,1,2,60951,80,6,39.381275557489644
3,2,7,10,1,0,11032,36,1,16.67232714878692
1,2,1,2,3,0,77592,35,1,9.351914434644888
3,2,7,1,3,2,12385,35,1,5.738517555740534
2,2,3,4,1,0,25265,83,1,63.1151194098927
0,2,3,7,2,0,7469,55,1,68.40348168117956
0,2,6,11,1,0,42955,52,1,38.091209009255095
3,1,0,3,3,0,322,35,1,16.349997850913024
1,2,7,11,1,0,33078,25,1,56.06665434117951
0,2,6,7,1,1,6163,69,1,34.65940449658811
3,2,3,9,2,0,61663,57,1,167.55826225137113
3,2,7,5,2,0,253678,37,12,54.29393532930657
2,0,3,5,2,0,54838,46,1,139.1108018414731
2,2,0,2,0,0,107179,23,2,1.769342054396084
1,1,7,9,1,2,79499,25,4,52.937858707712216
0,2,3,1,1,0,892,88,1,48.816724888115395
3,2,7,8,2,0,170124,27,5,34.5475051058177
2,2,7,5,3,0,41653,44,1,7.215186515227829
2,2,0,8,1,0,155207,55,4,42.792288873453096
1,2,7,10,3,0,54243,42,1,46.188388000217245
3,0,7,10,1,0,2068,80,1,222.45716555437824
3,2,0,5,1,0,77134,67,1,49.286939450610255
2,0,7,3,3,0,17609,45,1,38.85414571438015
1,0,3,4,3,0,103042,16,7,49.362993519339184
3,0,3,1,3,0,207259,48,2,37.27804165906641
0,2,7,3,1,0,6677,67,1,86.78004611377658
1,1,2,3,1,0,47767,28,1,15.84397430433655
2,2,3,10,3,1,59474,64,1,54.145046400091196
0,2,0,5,3,0,238569,69,3,32.00140862337407
3,2,4,7,0,0,56767,47,2,11.989698643687909
1,2,0,5,1,0,42545,69,1,73.74637513919147
0,2,3,0,3,0,143258,61,4,19.56491996214495
0,1,0,2,2,0,10988,44,14,45.34539526146601
3,1,6,9,0,0,4547,47,1,4.286826945032612
3,2,0,8,3,0,3562,91,1,91.58798623276982
3,2,0,0,3,0,188468,17,13,4.13849954029536
1,1,3,10,1,0,15258,67,1,52.47481708399947
2,0,1,1,0,0,2567,65,1,40.42910724709616
0,1,3,0,3,2,77859,30,2,11.706766051765413
2,0,0,1,1,0,3781,44,2,123.29382145258087
0,2,0,10,1,0,132369,41,1,26.845200884948756
0,1,3,0,0,0,3769,41,1,29.384138935211308
3,0,2,6,2,0,10428,22,1,80.5327345341312
2,2,6,1,1,2,315469,32,3,15.959623023532032
3,2,3,10,2,2,5816,79,5,91.84126705257914
1,2,4,1,2,0,83628,33,1,27.202935807922632
0,2,0,11,1,0,20118,21,1,7.130540927259529
1,0,0,2,0,0,6766,77,1,27.584212043268053
1,0,0,6,1,1,34086,46,2,2.325110786527701
2,2,7,10,3,1,82453,21,1,2.1526446272107194
0,2,7,11,0,0,94819,84,13,53.579868567336696
3,1,3,1,1,0,171,35,1,26.903095460273974
2,1,0,2,1,0,7747,47,1,32.14897569307388
1,0,6,4,2,2,18307,55,1,10.100236127814934
3,2,2,7,1,0,20894,57,1,198.25337655191288
1,0,7,0,3,0,16999,43,1,5.222500715832671
3,2,3,3,0,0,116942,33,1,3.5445499800781723
2,1,6,4,3,0,37206,39,1,124.72213286106559
1,0,7,0,1,0,89260,67,3,62.124864793956554
3,2,0,1,3,0,25983,43,2,27.431841637297158
0,2,5,11,1,0,203392,24,1,2.607570692508907
0,1,0,6,0,1,213,100,1,139.0556629338842
0,2,0,4,2,0,724,79,1,13.849970367643516
0,2,0,5,1,0,176,34,1,29.374206063896445
3,2,3,9,1,1,6399,40,1,22.135914402469773
2,0,3,2,3,0,27615,74,4,26.924884200793223
2,2,1,9,2,0,2888,27,1,30.752961622294638
2,0,0,0,2,0,10898,22,1,10.31211030534022
1,1,7,6,3,2,194471,39,7,37.529840518959155
0,2,0,0,3,0,5394,27,1,39.785552196227194
2,0,0,9,1,0,177642,12,11,11.166558978313027
3,2,7,8,3,0,3217,52,2,80.69994088587119
3,1,4,7,2,0,70605,38,1,21.736842333608013
0,2,3,2,0,0,14562,44,3,102.33018487590778
3,0,3,0,3,0,32574,11,1,15.31643629958914
2,1,0,3,3,0,1331,31,1,94.68776838205127
2,1,3,1,1,0,485,99,1,37.50044627847116
2,2,7,10,1,0,8658,80,2,47.027736080333035
3,2,7,4,1,0,13068,51,1,24.953640050380443
3,0,3,4,1,0,237617,39,6,58.185945657311606
2,2,4,11,3,0,186705,26,2,5.3299626798134945
0,2,0,0,0,0,109875,9,1,9.156504380056866
0,2,0,5,1,0,1602,54,1,86.19439835491056
0,2,7,4,2,0,10123,63,1,11.643869376103735
3,1,3,3,1,0,191163,33,23,37.05439035968459
2,1,2,3,0,0,142803,19,2,6.863512517640904
1,0,0,1,1,0,104170,26,1,143.01904031232962
3,2,3,2,1,0,32721,65,1,27.17267348150421
1,2,0,11,0,0,11471,95,2,17.218499532438933
3,2,0,1,2,1,83966,34,5,119.31232495442822
2,0,0,6,3,0,129249,87,1,18.707025376065538
2,0,3,4,3,0,21805,36,3,84.87379010276497
1,1,0,10,2,0,21132,41,1,10.13989213797063
0,0,2,1,3,0,114420,62,1,12.225660691062266
1,2,7,6,3,0,54065,38,1,69.18267214711133
0,1,2,2,3,0,76556,70,1,13.251490663855233
3,2,2,1,1,1,1797,57,1,25.700550289566984
3,1,0,8,2,0,163895,26,3,152.0879633532827
0,1,0,6,3,0,102046,24,1,180.7485774658753
0,2,7,0,0,0,43415,52,2,46.30367519477046
3,2,3,10,2,0,79771,47,18,4.437230302280341
1,1,3,0,2,1,2810,52,1,35.89922552464796
1,2,5,7,1,0,69527,18,1,45.71080074169622
3,2,0,5,0,2,149549,72,1,3.6112459494300717
1,2,4,11,1,1,181886,42,1,7.009871136886882
2,2,7,0,3,0,63733,20,8,24.803490591541166
3,0,3,1,3,0,50866,20,12,38.10838832209414
1,2,0,4,0,0,8624,47,2,17.851817981476355
1,0,7,5,3,0,86909,45,1,51.789848022781904
2,1,3,6,3,0,83331,29,14,33.3012798434333
1,1,6,9,3,0,13711,43,1,7.419755665826018
3,2,0,4,3,0,17497,82,1,9.44272179065939
3,2,1,7,0,0,73815,32,1,4.041973441683957
0,2,0,3,3,1,268164,15,11,3.3333758937672124
3,1,7,4,1,1,15408,67,4,55.591919337150024
0,2,6,3,2,0,141313,16,1,20.308538019109193
1,0,7,7,3,1,36704,35,2,49.28586571355915
3,2,1,9,2,0,40810,41,2,1.9653614379627486
2,2,5,10,3,0,77474,35,2,9.439524204269583
0,2,1,1,2,0,31359,18,1,4.271659831923102
3,2,6,8,2,0,2595,34,2,111.47177619054693
0,0,6,2,1,1,141362,18,3,6.486957648710289
0,0,3,2,2,0,1046,41,1,62.417329738751754
0,0,3,0,1,0,48855,34,2,59.395093427401534
0,2,3,2,1,1,29910,25,1,65.22664988166046
1,2,3,11,3,0,17958,32,3,102.6409060099829
2,0,3,2,0,0,56061,28,8,2.144341926265767
0,2,0,8,1,0,1808,35,1,36.573444193179405
2,2,3,7,2,0,202604,81,4,47.01528299803487
2,0,0,0,1,0,59485,66,1,84.91159859543549
2,2,0,8,3,0,221,34,1,1.9309747782528621
0,2,1,5,3,0,25817,49,1,6.841472684764645
2,2,7,11,2,0,40653,70,1,29.75697827745529
0,0,1,3,0,0,827,15,1,0.9894490743901136
2,0,0,1,2,0,36419,82,1,137.02653921595396
3,2,2,4,2,1,29611,50,1,38.48485904204877
3,2,1,6,2,1,171598,55,1,12.768789404813127
1,0,7,4,3,0,47569,20,1,1.3855304104654316
0,2,7,5,3,0,16027,55,1,3.252837299965556
1,0,3,8,1,2,86949,53,8,110.40532074323978
0,2,7,1,1,0,203227,28,1,1.0436657914027416
1,1,7,2,0,0,168,45,1,19.406300448064375
2,0,3,1,2,0,1931,75,1,28.787109509850666
1,0,1,6,1,0,1454,35,1,5.294843070734339
3,2,0,0,3,0,76956,65,3,40.70831285669003
1,1,0,10,3,0,7955,78,1,19.673855705876345
2,0,1,4,0,0,92488,30,1,3.549665191589166
1,1,3,6,1,0,158814,37,10,12.240453393515361
0,2,0,1,1,0,169,25,1,7.0138459241805835
1,2,3,5,1,0,164954,38,2,1.334939357863307
1,0,7,6,1,0,15579,21,1,56.15053066498717
2,2,0,11,3,0,82841,37,2,81.32457147707498
2,2,3,2,1,0,277835,19,5,27.79774761192242
2,1,3,5,3,0,588,45,2,11.453036389143637
3,2,7,8,1,0,68606,36,1,23.746486057412636
0,0,0,0,0,0,8854,118,1,8.928737716586738
1,0,2,7,0,0,25805,13,1,34.50240841511158
3,2,0,11,1,1,281512,23,1,22.57850112836116
1,1,7,10,1,0,26227,14,1,11.759546726044794
1,2,6,2,3,2,41939,15,1,22.563721285646956
3,1,7,4,1,0,3609,28,1,6.705554705388615
3,0,3,1,1,0,248703,23,2,1.7556212717586015
3,0,3,2,1,0,131030,76,3,16.59722640201656
2,0,0,6,1,0,62938,37,2,73.14454728929378
2,0,3,5,0,0,3051,105,2,10.496026176382156
1,1,0,4,3,0,254093,47,18,53.406469269262594
0,1,4,4,2,0,154058,51,4,23.278803994397222
3,1,7,1,2,0,4569,30,1,67.88257010410587
2,0,1,0,3,0,3428,53,1,16.05442985833935
1,2,0,8,1,0,60642,23,27,17.696313548066207
2,0,3,6,0,0,13336,42,5,38.47287095926889
1,0,0,9,1,0,9709,34,1,36.70010143845449
2,2,7,3,3,0,45536,41,1,21.960385417951226
3,0,7,0,1,0,212372,22,2,6.228184533865422
1,2,3,1,2,0,1429,44,1,0.5436274727559282
2,2,0,7,3,0,1560,60,1,51.06176209231038
2,0,3,3,2,0,64841,36,1,36.1949746612441
1,0,7,4,2,0,82529,45,1,63.99447522414239
0,0,2,4,3,0,7116,59,1,62.80034237657646
0,0,0,1,2,0,9711,53,1,77.89768473171881
1,0,0,1,3,0,1081,22,1,17.35340043225468
2,0,0,2,1,2,2003,54,1,76.50882493108486
0,2,0,7,1,0,153372,64,16,57.562473213496
0,0,6,10,1,0,49744,19,1,29.370335511393144
2,0,0,1,2,0,10793,69,1,16.002392273025567
2,0,3,1,3,0,201384,42,13,63.75307308340817
2,2,5,11,1,0,229,77,1,15.412329580703132
0,2,1,11,2,0,109355,44,1,29.219982181279846
3,0,3,2,0,0,117269,31,3,10.573605380979668
3,2,0,1,1,0,17656,43,1,8.36742281827969
1,2,7,6,1,2,30358,46,1,19.226530519033044
1,0,2,1,3,0,6036,8,1,7.198455548969332
1,2,3,8,1,1,305,94,1,35.81389405884673
1,0,0,2,0,0,21236,24,1,63.27962678655828
2,2,3,0,1,0,13864,99,3,10.549383011951441
3,2,0,2,2,0,62056,84,2,7.256371491950302
1,2,0,11,2,0,117463,51,2,6.919240758497961
3,2,3,0,1,0,33342,22,6,60.94783589168637
3,2,0,3,3,0,67410,11,1,7.12450345881645
3,2,7,4,2,0,55519,64,2,2.1560047960094106
3,1,3,2,2,0,18262,50,1,1.1551726730289775
3,2,0,9,1,0,79461,15,3,10.731851699341696
2,0,0,10,3,0,42153,32,1,12.145171798715195
2,0,0,4,1,0,156420,18,10,22.640880107003216
0,1,1,8,3,0,256370,78,14,7.01417948184363
2,1,0,9,1,2,12675,71,1,65.97268238044097
1,2,0,11,1,0,11368,81,1,41.80762907718822
2,2,7,6,1,1,53784,75,2,40.2727533939673
2,2,3,2,1,0,299329,23,12,43.414331263452375
3,2,0,10,1,0,7897,31,1,5.6476298150063915
3,2,7,2,1,2,190358,59,2,116.96929042166066
2,2,5,10,1,0,102994,43,2,146.48077734149686
2,0,7,2,2,0,20273,22,1,21.65988715775314
3,2,0,10,1,0,16353,57,1,67.77111568483996
0,2,7,4,3,2,103452,95,1,88.0479823969268
1,0,6,4,3,0,1495,40,1,20.00733767213688
2,2,4,4,1,2,98926,30,1,8.133836300378151
3,1,2,1,3,0,6413,31,1,41.5025237041022
2,2,7,11,1,0,226592,35,6,2.2717081566773567
0,0,7,4,3,0,340279,15,9,107.13572812636781
2,1,0,4,2,2,16078,93,2,101.51769513465378
3,1,7,10,3,0,78901,29,1,37.40712364120453
0,0,7,8,0,0,156032,68,2,44.591634384285264
0,0,2,7,3,0,53646,72,6,25.541952294334884
3,2,0,10,1,2,211447,57,1,29.65824516527016
2,2,7,2,2,0,240143,29,1,0.7654441303949628
1,0,6,1,0,0,43879,20,1,1.4334075776847288
3,1,3,2,0,0,58961,87,15,68.93139357887914
1,0,7,8,3,0,64507,35,5,50.59861121840419
3,1,3,2,1,0,16887,20,6,20.55360197595155
2,2,0,9,0,0,2911,32,1,37.026506789501546
3,2,7,2,1,0,91474,17,3,42.00959138367084
0,2,3,4,2,0,18211,30,8,31.496547178515193
3,2,3,0,3,0,59406,52,1,46.27152704851901
2,0,3,1,3,0,16402,40,1,2.8429247249608283
2,2,0,11,2,0,53149,30,1,21.17367771976493
0,1,7,0,2,0,159939,20,1,14.990142054416255
1,0,0,11,1,0,52315,28,8,213.28886488898416
3,0,3,0,1,0,80570,56,1,99.56721937284921
3,0,3,0,3,0,18477,48,1,0.8218428389002217
3,2,0,8,1,0,15770,74,1,17.191182596934176
1,0,3,5,0,0,8828,76,1,61.22060148864567
3,1,3,10,0,0,33002,24,1,34.91160059330795
0,0,4,0,1,2,87020,46,5,63.00790297098062
0,0,3,0,2,0,268,49,1,46.07199487579054
3,0,0,0,1,0,71107,22,6,87.68801614918517
1,0,5,9,2,0,49291,41,1,7.110800218676363
1,2,1,11,2,1,16628,58,1,15.054687062890459
1,0,7,1,3,1,1254,103,1,59.90394519961528
1,2,0,9,1,1,28176,57,5,91.34368340295286
0,0,0,3,2,0,4588,52,1,24.821046506205608
3,0,0,4,2,0,69436,41,1,16.44998384751396
2,0,7,2,1,0,968,64,1,19.284274381261564
1,0,7,3,2,0,63498,30,1,39.7870541929062
1,2,0,11,1,0,44445,43,1,91.6288580101518
1,0,0,0,1,0,11717,52,1,12.125265616532765
0,0,0,0,1,0,69480,54,1,1.9205431264204194
0,2,0,0,2,0,22803,41,1,73.9688817535426
2,2,5,6,1,0,398,36,1,3.6484588538738336
1,1,3,9,0,0,47575,51,3,8.829178067183843
2,2,7,2,1,0,47981,23,1,16.469993918887894
0,2,0,0,2,0,10893,35,7,43.87111697350422
2,2,0,10,1,0,34645,47,2,70.0997943847928
3,2,3,8,1,0,4252,48,1,82.85056957170805
2,2,3,2,0,0,13292,82,1,114.61832427918186
1,0,3,1,0,0,8016,25,3,31.59911061725785
1,2,0,7,2,0,2249,25,1,55.908039208482776
0,2,0,10,0,0,64443,33,3,1.4404922970328318
2,0,0,1,1,0,26812,25,1,7.171897385934522
3,2,3,1,3,0,19068,34,1,2.946877627785992
2,1,0,9,3,1,31009,86,1,42.45457399933061
3,2,7,0,3,0,9567,23,1,27.602699779949507
3,0,1,5,1,0,1649,39,1,9.767424287478795
0,2,3,4,1,0,125676,31,4,73.60052877714786
2,1,3,9,1,0,18247,40,1,12.164257956189639
0,2,1,8,1,0,1661,47,1,8.191059981638341
3,1,0,1,2,0,105861,59,2,84.88640745780435
0,2,3,3,3,0,9572,19,2,3.331889597996514
0,2,1,6,2,0,24646,20,2,16.20502649210912
2,1,4,5,1,0,225646,30,2,44.60560397426575
3,2,3,6,0,0,5581,51,2,73.77715026002548
2,0,3,1,3,0,47206,27,1,10.74749432105982
0,2,0,1,2,1,8738,48,2,27.61481519576129
1,0,6,4,3,0,2537,38,1,35.315651343234485
2,2,7,0,1,0,46766,27,1,36.59606445681819
0,2,1,8,0,0,9431,40,1,45.66558032471702
2,2,2,6,1,0,80479,33,1,9.533584396437638
1,0,6,0,3,0,30013,72,1,53.25313124492954
3,2,1,10,2,0,14301,63,1,36.592372603185126
0,2,0,10,3,0,13404,38,1,69.71394333567434
0,0,1,0,1,0,12118,15,1,2.11560907293799
0,1,3,0,3,0,34054,30,4,54.922968688774134
2,1,0,11,1,0,2764,26,1,19.84748993224157
0,2,3,6,0,0,2130,34,1,10.428540222062972
1,2,3,8,3,0,13826,69,4,16.407895057611057
3,1,6,9,3,0,633,82,1,112.43361967242637
1,0,6,3,1,0,108873,41,11,25.47765088597138
3,0,0,8,3,0,1862,35,1,7.347938743360346
0,2,4,6,2,2,101991,68,1,31.389749349334725
0,2,3,4,2,0,4448,51,1,22.620444881774034
0,2,3,10,1,1,671,108,1,46.02500001490258
3,0,7,0,1,2,154393,56,2,37.80198118170617
3,1,1,3,0,0,7306,22,1,29.97379320536539
3,2,0,5,0,0,4962,64,1,22.019611758685716
2,0,7,9,1,0,123338,30,17,12.296089707404793
0,1,2,7,1,0,8468,62,1,104.23290876391522
0,1,0,2,2,0,8069,93,1,18.228449466203127
2,0,5,6,1,2,42985,29,1,11.553699518493707
2,0,3,5,3,0,1247,59,1,21.234911060976863
0,2,0,2,3,0,7294,16,1,18.90847537834935
1,2,7,11,1,0,10287,27,2,93.63402948225728
1,2,0,4,2,0,3148,80,1,128.72603340261165
0,2,7,9,2,0,138612,19,2,21.20583096913697
1,1,7,4,1,0,31085,38,1,8.071681503514151
1,1,2,4,1,2,95320,66,1,12.554492624314358
3,1,3,5,1,1,2252,49,1,88.36595329580545
0,0,3,0,3,0,207296,38,2,22.253975651812453
1,1,7,11,1,0,46818,26,12,68.77027662370614
1,2,3,10,2,0,22853,46,1,24.44268071854844
3,0,3,0,2,0,7949,87,1,63.82107332943296
3,2,0,2,1,0,367724,68,19,53.13777649018708
3,2,3,1,2,1,18795,41,2,7.902528496394408
3,0,7,3,0,0,33832,29,1,72.01525970266721
3,2,7,10,3,0,63868,30,1,116.40152992278522
1,2,7,9,1,2,65675,40,2,107.91705419698384
1,0,0,1,2,0,26866,21,1,37.182890975597616
1,0,1,4,1,0,17043,56,1,54.33735381399973
0,2,7,5,1,0,10737,46,3,8.828485770275806
0,2,0,4,1,0,7806,32,2,4.978477406689497
1,2,4,9,0,0,17911,32,1,11.4986347170299
0,0,2,5,1,0,89515,50,1,110.78395592943355
2,2,0,9,1,0,78116,30,2,9.766312849876035
0,0,7,9,2,0,22260,46,1,46.45875178836062
0,2,3,3,1,1,47826,69,5,38.85042580352829
3,1,0,1,0,0,40012,35,9,81.41934065306864
2,2,3,7,3,0,103686,112,3,59.5079341366748
0,0,6,0,2,0,19339,34,1,50.428959454934486
3,0,4,1,0,0,5106,51,1,53.754904259336506
0,2,7,6,3,1,181189,62,6,31.843633897821533
2,1,2,11,1,0,6603,52,1,98.96374529886683
